BER_Rating,mean,count
FG,995000.0,1
A,805000.0,1
BER_PENDING,797428.5714285715,14
A2B2,653666.6666666666,3
A1,634408.1632653062,49
B1,620192.0389610389,154
A2,581300.4027237354,514
A3,576829.1111111111,315
E,560112.7076923077,65
B2,554810.1445221446,429
D,546968.2739726028,292
B,506182.4646464646,99
B3,504161.93378119,1042
C,485920.7813620072,279
C1,437100.1399491094,1179
A2A3,433000.0,3
E1,431969.65762711863,590
C2,430300.6576433121,1256
D2,424838.7065462754,886
E2,419934.5139784946,465
C3,415384.6966192171,1124
D1,409646.14643931796,997
F,392024.80384615384,520
SI_666,385164.5546975547,777
G,295587.22593068035,779
Unknown,190704.02887590238,2909
A1A2,95000.0,1
