bin_start,bin_end,count
1.0,20400.98,24
20400.98,40800.96,415
40800.96,61200.94,688
61200.94,81600.92,557
81600.92,102000.9,439
102000.9,122400.88,242
122400.88,142800.86,261
142800.86,163200.84,389
163200.84,183600.82,408
183600.82,204000.8,514
204000.8,224400.78,286
224400.78,244800.76,472
244800.76,265200.74,725
265200.74,285600.72,646
285600.72,306000.7,642
306000.7,326400.68,448
326400.68,346800.66,365
346800.66,367200.64,508
367200.64,387600.62,529
387600.62,408000.6,587
408000.6,428400.58,358
428400.58,448800.56,237
448800.56,469200.54,435
469200.54,489600.52,322
489600.52,510000.5,441
510000.5,530400.48,226
530400.48,550800.46,309
550800.46,571200.44,92
571200.44,591600.42,188
591600.42,612000.4,249
612000.4,632400.38,139
632400.38,652800.36,191
652800.36,673200.34,53
673200.34,693600.32,110
693600.32,714000.2999999999,209
714000.2999999999,734400.28,88
734400.28,754800.26,154
754800.26,775200.24,56
775200.24,795600.22,129
795600.22,816000.2,50
816000.2,836400.1799999999,51
836400.1799999999,856800.16,101
856800.16,877200.14,50
877200.14,897600.12,81
897600.12,918000.1,26
918000.1,938400.08,23
938400.08,958800.0599999999,63
958800.0599999999,979200.04,37
979200.04,999600.02,49
999600.02,1020000.0,1081
