Property_Type,mean,count
apartment,904397.3340122199,491
Detached House,800096.1395348837,43
Terraced Bungalow,750000.0,1
Semi-Detached House,640252.641025641,117
Mid Terrace House,626078.7419354839,93
Semi-Detached Property,619000.0,3
House,604285.7142857143,21
Detached Bungalow,598159.0909090909,11
Terrace Property,588226.5326086957,92
Bungalow Property,564700.0,8
Terraced,556250.0,4
End Terrace House,555082.340425532,47
Converted Flat,552353.4821428572,56
Detached Property,500000.0,1
Houses,498445.8904109589,219
Semi-Detached Bungalow,487511.0,12
Detached,473153.69080009224,4337
Unknown,444960.8333333333,30
Semi-D,423513.628243513,2004
Flat/Maisonette,421565.6577946768,263
Purpose Built Flat,414271.128440367,218
Mid Terrace Property,405000.0,1
End of Terrace,394403.29525483306,569
New Homes,385000.0,1
Terrace,375511.1636625811,1387
Duplex,363525.5905511811,127
Bungalow,336910.38364779874,795
Apartment,328948.85837526957,1391
Townhouse,306689.2148148148,135
Studio,250790.0,5
Site,120255.57300884956,2260
Property,115000.0,1
